MV1_DATE,TERM,Mid_Market_Rate
10/2/24,6M,4.294
10/2/24,9M,4.034
10/2/24,1Y,3.843
10/2/24,18M,3.569
10/2/24,2Y,3.435
10/2/24,3Y,3.304
10/2/24,5Y,3.24
10/2/24,10Y,3.315
10/2/24,20Y,3.432
10/2/24,30Y,3.312
10/1/24,ON,5.05
10/1/24,1W,4.847
10/1/24,2W,4.849
10/1/24,3W,4.851
10/1/24,1M,4.855
10/1/24,2M,4.725
10/1/24,3M,4.614
10/1/24,4M,4.509
10/1/24,5M,4.396
10/1/24,6M,4.293
10/1/24,9M,4.037
10/1/24,1Y,3.837
10/1/24,18M,3.553
10/1/24,2Y,3.41
10/1/24,3Y,3.277
10/1/24,5Y,3.208
10/1/24,10Y,3.276
10/1/24,20Y,3.387
10/1/24,30Y,3.264
9/30/24,ON,4.96
9/30/24,1W,4.844
9/30/24,2W,4.846
9/30/24,3W,4.848
9/30/24,1M,4.852
9/30/24,2M,4.733
9/30/24,3M,4.623
9/30/24,4M,4.513
9/30/24,5M,4.405
9/30/24,6M,4.314
9/30/24,9M,4.053
9/30/24,1Y,3.856
9/30/24,18M,3.581
9/30/24,2Y,3.448
9/30/24,3Y,3.323
9/30/24,5Y,3.267
9/30/24,10Y,3.335
9/30/24,20Y,3.444
9/30/24,30Y,3.32
9/27/24,ON,4.84
9/27/24,1W,4.84
9/27/24,2W,4.842
9/27/24,3W,4.844
9/27/24,1M,4.847
9/27/24,2M,4.712
9/27/24,3M,4.589
9/27/24,4M,4.467
9/27/24,5M,4.35
9/27/24,6M,4.253
9/27/24,9M,3.969
9/27/24,1Y,3.759
9/27/24,18M,3.484
9/27/24,2Y,3.356
9/27/24,3Y,3.243
9/27/24,5Y,3.194
9/27/24,10Y,3.285
9/27/24,20Y,3.404
9/27/24,30Y,3.286
9/26/24,ON,4.83
9/26/24,1W,4.841
9/26/24,2W,4.843
9/26/24,3W,4.845
9/26/24,1M,4.848
9/26/24,2M,4.73
9/26/24,3M,4.611
9/26/24,4M,4.502
9/26/24,5M,4.386
9/26/24,6M,4.288
9/26/24,9M,4.016
9/26/24,1Y,3.814
9/26/24,18M,3.54
9/26/24,2Y,3.413
9/26/24,3Y,3.299
9/26/24,5Y,3.245
9/26/24,10Y,3.322
9/26/24,20Y,3.433
9/26/24,30Y,3.308
9/25/24,ON,4.84
9/25/24,1W,4.843
9/25/24,2W,4.845
9/25/24,3W,4.847
9/25/24,1M,4.85
9/25/24,2M,4.738
9/25/24,3M,4.625
9/25/24,4M,4.502
9/25/24,5M,4.369
9/25/24,6M,4.276
9/25/24,9M,3.981
9/25/24,1Y,3.763
9/25/24,18M,3.485
9/25/24,2Y,3.356
9/25/24,3Y,3.25
9/25/24,5Y,3.214
9/25/24,10Y,3.315
9/25/24,20Y,3.436
9/25/24,30Y,3.318
9/24/24,ON,4.84
9/24/24,1W,4.85
9/24/24,2W,4.852
9/24/24,3W,4.854
9/24/24,1M,4.858
9/24/24,2M,4.751
9/24/24,3M,4.64
9/24/24,4M,4.509
9/24/24,5M,4.375
9/24/24,6M,4.279
9/24/24,9M,3.977
9/24/24,1Y,3.755
9/24/24,18M,3.466
9/24/24,2Y,3.332
9/24/24,3Y,3.221
9/24/24,5Y,3.183
9/24/24,10Y,3.279
9/24/24,20Y,3.399
9/24/24,30Y,3.277
9/23/24,ON,4.83
9/23/24,1W,4.85
9/23/24,2W,4.852
9/23/24,3W,4.854
9/23/24,1M,4.857
9/23/24,2M,4.764
9/23/24,3M,4.654
9/23/24,4M,4.529
9/23/24,5M,4.402
9/23/24,6M,4.309
9/23/24,9M,4.005
9/23/24,1Y,3.783
9/23/24,18M,3.496
9/23/24,2Y,3.364
9/23/24,3Y,3.248
9/23/24,5Y,3.2
9/23/24,10Y,3.283
9/23/24,20Y,3.397
9/23/24,30Y,3.272
9/20/24,ON,4.83
9/20/24,1W,4.849
9/20/24,2W,4.851
9/20/24,3W,4.853
9/20/24,1M,4.856
9/20/24,2M,4.764
9/20/24,3M,4.667
9/20/24,4M,4.542
9/20/24,5M,4.413
9/20/24,6M,4.32
9/20/24,9M,4.017
9/20/24,1Y,3.794
9/20/24,18M,3.504
9/20/24,2Y,3.368
9/20/24,3Y,3.247
9/20/24,5Y,3.188
9/20/24,10Y,3.271
9/20/24,20Y,3.384
9/20/24,30Y,3.262
9/19/24,ON,4.82
9/19/24,1W,4.853
9/19/24,2W,4.855
9/19/24,3W,4.858
9/19/24,1M,4.86
9/19/24,2M,4.777
9/19/24,3M,4.691
9/19/24,4M,4.567
9/19/24,5M,4.437
9/19/24,6M,4.345
9/19/24,9M,4.049
9/19/24,1Y,3.828
9/19/24,18M,3.535
9/19/24,2Y,3.395
9/19/24,3Y,3.266
9/19/24,5Y,3.206
9/19/24,10Y,3.281
9/19/24,20Y,3.392
9/19/24,30Y,3.266
9/18/24,ON,5.33
9/18/24,1W,4.855
9/18/24,2W,4.857
9/18/24,3W,4.859
9/18/24,1M,4.862
9/18/24,2M,4.807
9/18/24,3M,4.725
9/18/24,4M,4.595
9/18/24,5M,4.476
9/18/24,6M,4.384
9/18/24,9M,4.079
9/18/24,1Y,3.848
9/18/24,18M,3.55
9/18/24,2Y,3.402
9/18/24,3Y,3.259
9/18/24,5Y,3.175
9/18/24,10Y,3.233
9/18/24,20Y,3.334
9/18/24,30Y,3.204
9/17/24,ON,5.38
9/17/24,1W,4.956
9/17/24,2W,4.958
9/17/24,3W,4.96
9/17/24,1M,4.964
9/17/24,2M,4.908
9/17/24,3M,4.818
9/17/24,4M,4.672
9/17/24,5M,4.547
9/17/24,6M,4.447
9/17/24,9M,4.114
9/17/24,1Y,3.873
9/17/24,18M,3.551
9/17/24,2Y,3.39
9/17/24,3Y,3.231
9/17/24,5Y,3.133
9/17/24,10Y,3.18
9/17/24,20Y,3.275
9/17/24,30Y,3.145
9/16/24,ON,5.38
9/16/24,1W,5.026
9/16/24,2W,4.994
9/16/24,3W,4.985
9/16/24,1M,4.981
9/16/24,2M,4.922
9/16/24,3M,4.828
9/16/24,4M,4.671
9/16/24,5M,4.544
9/16/24,6M,4.439
9/16/24,9M,4.092
9/16/24,1Y,3.837
9/16/24,18M,3.509
9/16/24,2Y,3.35
9/16/24,3Y,3.191
9/16/24,5Y,3.106
9/16/24,10Y,3.162
9/16/24,20Y,3.259
9/16/24,30Y,3.124
9/13/24,ON,5.33
9/13/24,1W,5.095
9/13/24,2W,5.041
9/13/24,3W,5.025
9/13/24,1M,5.017
9/13/24,2M,4.954
9/13/24,3M,4.86
9/13/24,4M,4.716
9/13/24,5M,4.578
9/13/24,6M,4.477
9/13/24,9M,4.136
9/13/24,1Y,3.881
9/13/24,18M,3.541
9/13/24,2Y,3.37
9/13/24,3Y,3.206
9/13/24,5Y,3.122
9/13/24,10Y,3.186
9/13/24,20Y,3.291
9/13/24,30Y,3.161
9/12/24,ON,5.33
9/12/24,1W,5.172
9/12/24,2W,5.107
9/12/24,3W,5.087
9/12/24,1M,5.076
9/12/24,2M,5.012
9/12/24,3M,4.921
9/12/24,4M,4.784
9/12/24,5M,4.646
9/12/24,6M,4.549
9/12/24,9M,4.219
9/12/24,1Y,3.965
9/12/24,18M,3.613
9/12/24,2Y,3.43
9/12/24,3Y,3.249
9/12/24,5Y,3.155
9/12/24,10Y,3.209
9/12/24,20Y,3.309
9/12/24,30Y,3.176
9/11/24,ON,5.32
9/11/24,1W,5.307
9/11/24,2W,5.189
9/11/24,3W,5.152
9/11/24,1M,5.128
9/11/24,2M,5.085
9/11/24,3M,4.979
9/11/24,4M,4.848
9/11/24,5M,4.721
9/11/24,6M,4.612
9/11/24,9M,4.27
9/11/24,1Y,3.997
9/11/24,18M,3.63
9/11/24,2Y,3.436
9/11/24,3Y,3.244
9/11/24,5Y,3.138
9/11/24,10Y,3.183
9/11/24,20Y,3.277
9/11/24,30Y,3.141
9/10/24,ON,5.33
9/10/24,1W,5.346
9/10/24,2W,5.186
9/10/24,3W,5.135
9/10/24,1M,5.1
9/10/24,2M,5.053
9/10/24,3M,4.931
9/10/24,4M,4.788
9/10/24,5M,4.661
9/10/24,6M,4.547
9/10/24,9M,4.205
9/10/24,1Y,3.941
9/10/24,18M,3.579
9/10/24,2Y,3.389
9/10/24,3Y,3.209
9/10/24,5Y,3.119
9/10/24,10Y,3.175
9/10/24,20Y,3.271
9/10/24,30Y,3.134
9/9/24,ON,5.34
9/9/24,1W,5.344
9/9/24,2W,5.214
9/9/24,3W,5.157
9/9/24,1M,5.125
9/9/24,2M,5.069
9/9/24,3M,4.951
9/9/24,4M,4.808
9/9/24,5M,4.689
9/9/24,6M,4.579
9/9/24,9M,4.246
9/9/24,1Y,3.991
9/9/24,18M,3.637
9/9/24,2Y,3.452
9/9/24,3Y,3.27
9/9/24,5Y,3.175
9/9/24,10Y,3.226
9/9/24,20Y,3.314
9/9/24,30Y,3.176
9/6/24,ON,5.34
9/6/24,1W,5.341
9/6/24,2W,5.231
9/6/24,3W,5.167
9/6/24,1M,5.129
9/6/24,2M,5.067
9/6/24,3M,4.953
9/6/24,4M,4.817
9/6/24,5M,4.687
9/6/24,6M,4.573
9/6/24,9M,4.236
9/6/24,1Y,3.976
9/6/24,18M,3.62
9/6/24,2Y,3.436
9/6/24,3Y,3.261
9/6/24,5Y,3.181
9/6/24,10Y,3.244
9/6/24,20Y,3.337
9/6/24,30Y,3.201
9/5/24,ON,5.35
9/5/24,1W,5.341
9/5/24,2W,5.247
9/5/24,3W,5.168
9/5/24,1M,5.123
9/5/24,2M,5.053
9/5/24,3M,4.949
9/5/24,4M,4.827
9/5/24,5M,4.706
9/5/24,6M,4.604
9/5/24,9M,4.307
9/5/24,1Y,4.073
9/5/24,18M,3.732
9/5/24,2Y,3.549
9/5/24,3Y,3.357
9/5/24,5Y,3.241
9/5/24,10Y,3.272
9/5/24,20Y,3.349
9/5/24,30Y,3.205
9/4/24,ON,5.35
9/4/24,1W,5.343
9/4/24,2W,5.321
9/4/24,3W,5.215
9/4/24,1M,5.148
9/4/24,2M,5.087
9/4/24,3M,4.962
9/4/24,4M,4.841
9/4/24,5M,4.726
9/4/24,6M,4.619
9/4/24,9M,4.322
9/4/24,1Y,4.085
9/4/24,18M,3.751
9/4/24,2Y,3.567
9/4/24,3Y,3.377
9/4/24,5Y,3.265
9/4/24,10Y,3.304
9/4/24,20Y,3.386
9/4/24,30Y,3.246
9/3/24,ON,5.34
9/3/24,1W,5.346
9/3/24,2W,5.349
9/3/24,3W,5.242
9/3/24,1M,5.17
9/3/24,2M,5.112
9/3/24,3M,5.003
9/3/24,4M,4.892
9/3/24,5M,4.793
9/3/24,6M,4.696
9/3/24,9M,4.427
9/3/24,1Y,4.21
9/3/24,18M,3.875
9/3/24,2Y,3.686
9/3/24,3Y,3.484
9/3/24,5Y,3.353
9/3/24,10Y,3.377
9/3/24,20Y,3.453
9/3/24,30Y,3.312
9/2/24,ON,5.32
9/2/24,1W,5.346
9/2/24,2W,5.349
9/2/24,3W,5.259
9/2/24,1M,5.193
9/2/24,2M,5.122
9/2/24,3M,5.014
9/2/24,4M,4.9
9/2/24,5M,4.806
9/2/24,6M,4.708
9/2/24,9M,4.442
9/2/24,1Y,4.227
9/2/24,18M,3.898
9/2/24,2Y,3.73
9/2/24,3Y,3.533
9/2/24,5Y,3.401
9/2/24,10Y,3.44
9/2/24,20Y,3.519
9/2/24,30Y,3.378
8/30/24,ON,5.32
8/30/24,1W,5.346
8/30/24,2W,5.349
8/30/24,3W,5.26
8/30/24,1M,5.195
8/30/24,2M,5.125
8/30/24,3M,5.018
8/30/24,4M,4.906
8/30/24,5M,4.811
8/30/24,6M,4.713
8/30/24,9M,4.447
8/30/24,1Y,4.233
8/30/24,18M,3.907
8/30/24,2Y,3.726
8/30/24,3Y,3.531
8/30/24,5Y,3.414
8/30/24,10Y,3.448
8/30/24,20Y,3.524
8/30/24,30Y,3.381
8/29/24,ON,5.33
8/29/24,1W,5.346
8/29/24,2W,5.349
8/29/24,3W,5.275
8/29/24,1M,5.205
8/29/24,2M,5.128
8/29/24,3M,5.023
8/29/24,4M,4.917
8/29/24,5M,4.813
8/29/24,6M,4.712
8/29/24,9M,4.44
8/29/24,1Y,4.22
8/29/24,18M,3.885
8/29/24,2Y,3.699
8/29/24,3Y,3.498
8/29/24,5Y,3.373
8/29/24,10Y,3.411
8/29/24,20Y,3.489
8/29/24,30Y,3.346
8/28/24,ON,5.35
8/28/24,1W,5.346
8/28/24,2W,5.349
8/28/24,3W,5.336
8/28/24,1M,5.238
8/28/24,2M,5.142
8/28/24,3M,5.042
8/28/24,4M,4.934
8/28/24,5M,4.829
8/28/24,6M,4.722
8/28/24,9M,4.447
8/28/24,1Y,4.224
8/28/24,18M,3.882
8/28/24,2Y,3.69
8/28/24,3Y,3.485
8/28/24,5Y,3.358
8/28/24,10Y,3.393
8/28/24,20Y,3.472
8/28/24,30Y,3.329
8/27/24,ON,5.35
8/27/24,1W,5.347
8/27/24,2W,5.35
8/27/24,3W,5.352
8/27/24,1M,5.245
8/27/24,2M,5.154
8/27/24,3M,5.051
8/27/24,4M,4.945
8/27/24,5M,4.841
8/27/24,6M,4.725
8/27/24,9M,4.449
8/27/24,1Y,4.222
8/27/24,18M,3.877
8/27/24,2Y,3.686
8/27/24,3Y,3.481
8/27/24,5Y,3.352
8/27/24,10Y,3.388
8/27/24,20Y,3.468
8/27/24,30Y,3.326
8/26/24,ON,5.34
8/26/24,1W,5.344
8/26/24,2W,5.347
8/26/24,3W,5.349
8/26/24,1M,5.251
8/26/24,2M,5.167
8/26/24,3M,5.066
8/26/24,4M,4.965
8/26/24,5M,4.868
8/26/24,6M,4.752
8/26/24,9M,4.486
8/26/24,1Y,4.26
8/26/24,18M,3.909
8/26/24,2Y,3.715
8/26/24,3Y,3.498
8/26/24,5Y,3.359
8/26/24,10Y,3.374
8/26/24,20Y,3.449
8/26/24,30Y,3.303
8/23/24,ON,5.33
8/23/24,1W,5.344
8/23/24,2W,5.347
8/23/24,3W,5.349
8/23/24,1M,5.27
8/23/24,2M,5.162
8/23/24,3M,5.063
8/23/24,4M,4.963
8/23/24,5M,4.853
8/23/24,6M,4.738
8/23/24,9M,4.466
8/23/24,1Y,4.239
8/23/24,18M,3.89
8/23/24,2Y,3.702
8/23/24,3Y,3.49
8/23/24,5Y,3.348
8/23/24,10Y,3.364
8/23/24,20Y,3.439
8/23/24,30Y,3.297
8/22/24,ON,5.31
8/22/24,1W,5.341
8/22/24,2W,5.344
8/22/24,3W,5.346
8/22/24,1M,5.284
8/22/24,2M,5.18
8/22/24,3M,5.093
8/22/24,4M,5.002
8/22/24,5M,4.895
8/22/24,6M,4.79
8/22/24,9M,4.532
8/22/24,1Y,4.318
8/22/24,18M,3.978
8/22/24,2Y,3.793
8/22/24,3Y,3.579
8/22/24,5Y,3.429
8/22/24,10Y,3.421
8/22/24,20Y,3.476
8/22/24,30Y,3.328
8/21/24,ON,5.31
8/21/24,1W,5.338
8/21/24,2W,5.341
8/21/24,3W,5.343
8/21/24,1M,5.305
8/21/24,2M,5.176
8/21/24,3M,5.07
8/21/24,4M,4.978
8/21/24,5M,4.861
8/21/24,6M,4.745
8/21/24,9M,4.477
8/21/24,1Y,4.244
8/21/24,18M,3.898
8/21/24,2Y,3.709
8/21/24,3Y,3.494
8/21/24,5Y,3.344
8/21/24,10Y,3.339
8/21/24,20Y,3.392
8/21/24,30Y,3.245
8/20/24,ON,5.32
8/20/24,1W,5.337
8/20/24,2W,5.34
8/20/24,3W,5.342
8/20/24,1M,5.309
8/20/24,2M,5.194
8/20/24,3M,5.111
8/20/24,4M,5.02
8/20/24,5M,4.913
8/20/24,6M,4.802
8/20/24,9M,4.553
8/20/24,1Y,4.333
8/20/24,18M,3.984
8/20/24,2Y,3.793
8/20/24,3Y,3.569
8/20/24,5Y,3.404
8/20/24,10Y,3.372
8/20/24,20Y,3.412
8/20/24,30Y,3.259
8/19/24,ON,5.32
8/19/24,1W,5.336
8/19/24,2W,5.339
8/19/24,3W,5.341
8/19/24,1M,5.311
8/19/24,2M,5.206
8/19/24,3M,5.129
8/19/24,4M,5.04
8/19/24,5M,4.942
8/19/24,6M,4.843
8/19/24,9M,4.6
8/19/24,1Y,4.391
8/19/24,18M,4.05
8/19/24,2Y,3.865
8/19/24,3Y,3.636
8/19/24,5Y,3.463
8/19/24,10Y,3.424
8/19/24,20Y,3.462
8/19/24,30Y,3.305
8/16/24,ON,5.32
8/16/24,1W,5.334
8/16/24,2W,5.337
8/16/24,3W,5.339
8/16/24,1M,5.334
8/16/24,2M,5.205
8/16/24,3M,5.131
8/16/24,4M,5.052
8/16/24,5M,4.941
8/16/24,6M,4.845
8/16/24,9M,4.605
8/16/24,1Y,4.396
8/16/24,18M,4.058
8/16/24,2Y,3.87
8/16/24,3Y,3.647
8/16/24,5Y,3.477
8/16/24,10Y,3.451
8/16/24,20Y,3.495
8/16/24,30Y,3.344
8/15/24,ON,5.35
8/15/24,1W,5.334
8/15/24,2W,5.337
8/15/24,3W,5.339
8/15/24,1M,5.343
8/15/24,2M,5.208
8/15/24,3M,5.138
8/15/24,4M,5.06
8/15/24,5M,4.947
8/15/24,6M,4.857
8/15/24,9M,4.623
8/15/24,1Y,4.419
8/15/24,18M,4.084
8/15/24,2Y,3.898
8/15/24,3Y,3.675
8/15/24,5Y,3.508
8/15/24,10Y,3.484
8/15/24,20Y,3.527
8/15/24,30Y,3.372
8/14/24,ON,5.33
8/14/24,1W,5.334
8/14/24,2W,5.337
8/14/24,3W,5.339
8/14/24,1M,5.343
8/14/24,2M,5.213
8/14/24,3M,5.124
8/14/24,4M,5.034
8/14/24,5M,4.914
8/14/24,6M,4.798
8/14/24,9M,4.534
8/14/24,1Y,4.296
8/14/24,18M,3.937
8/14/24,2Y,3.743
8/14/24,3Y,3.523
8/14/24,5Y,3.376
8/14/24,10Y,3.381
8/14/24,20Y,3.445
8/14/24,30Y,3.297
8/13/24,ON,5.34
8/13/24,1W,5.329
8/13/24,2W,5.332
8/13/24,3W,5.334
8/13/24,1M,5.339
8/13/24,2M,5.197
8/13/24,3M,5.112
8/13/24,4M,5.005
8/13/24,5M,4.887
8/13/24,6M,4.769
8/13/24,9M,4.512
8/13/24,1Y,4.282
8/13/24,18M,3.922
8/13/24,2Y,3.732
8/13/24,3Y,3.521
8/13/24,5Y,3.386
8/13/24,10Y,3.406
8/13/24,20Y,3.483
8/13/24,30Y,3.346
8/12/24,ON,5.34
8/12/24,1W,5.329
8/12/24,2W,5.332
8/12/24,3W,5.334
8/12/24,1M,5.339
8/12/24,2M,5.201
8/12/24,3M,5.123
8/12/24,4M,5.019
8/12/24,5M,4.913
8/12/24,6M,4.814
8/12/24,9M,4.567
8/12/24,1Y,4.353
8/12/24,18M,4.0
8/12/24,2Y,3.814
8/12/24,3Y,3.6
8/12/24,5Y,3.451
8/12/24,10Y,3.461
8/12/24,20Y,3.521
8/12/24,30Y,3.373
8/9/24,ON,5.34
8/9/24,1W,5.33
8/9/24,2W,5.333
8/9/24,3W,5.335
8/9/24,1M,5.339
8/9/24,2M,5.205
8/9/24,3M,5.132
8/9/24,4M,5.031
8/9/24,5M,4.921
8/9/24,6M,4.822
8/9/24,9M,4.581
8/9/24,1Y,4.374
8/9/24,18M,4.037
8/9/24,2Y,3.855
8/9/24,3Y,3.647
8/9/24,5Y,3.498
8/9/24,10Y,3.491
8/9/24,20Y,3.546
8/9/24,30Y,3.396
8/8/24,ON,5.34
8/8/24,1W,5.328
8/8/24,2W,5.331
8/8/24,3W,5.334
8/8/24,1M,5.337
8/8/24,2M,5.2
8/8/24,3M,5.128
8/8/24,4M,5.022
8/8/24,5M,4.908
8/8/24,6M,4.813
8/8/24,9M,4.567
8/8/24,1Y,4.356
8/8/24,18M,4.021
8/8/24,2Y,3.846
8/8/24,3Y,3.65
8/8/24,5Y,3.532
8/8/24,10Y,3.544
8/8/24,20Y,3.601
8/8/24,30Y,3.454
8/7/24,ON,5.33
8/7/24,1W,5.316
8/7/24,2W,5.319
8/7/24,3W,5.322
8/7/24,1M,5.325
8/7/24,2M,5.206
8/7/24,3M,5.108
8/7/24,4M,5.005
8/7/24,5M,4.892
8/7/24,6M,4.787
8/7/24,9M,4.535
8/7/24,1Y,4.314
8/7/24,18M,3.981
8/7/24,2Y,3.804
8/7/24,3Y,3.609
8/7/24,5Y,3.5
8/7/24,10Y,3.521
8/7/24,20Y,3.582
8/7/24,30Y,3.438
8/6/24,ON,5.33
8/6/24,1W,5.321
8/6/24,2W,5.324
8/6/24,3W,5.327
8/6/24,1M,5.331
8/6/24,2M,5.216
8/6/24,3M,5.133
8/6/24,4M,5.009
8/6/24,5M,4.902
8/6/24,6M,4.797
8/6/24,9M,4.552
8/6/24,1Y,4.332
8/6/24,18M,3.98
8/6/24,2Y,3.788
8/6/24,3Y,3.573
8/6/24,5Y,3.444
8/6/24,10Y,3.451
8/6/24,20Y,3.506
8/6/24,30Y,3.36
8/5/24,ON,5.32
8/5/24,1W,5.31
8/5/24,2W,5.313
8/5/24,3W,5.315
8/5/24,1M,5.32
8/5/24,2M,5.198
8/5/24,3M,5.102
8/5/24,4M,4.957
8/5/24,5M,4.841
8/5/24,6M,4.733
8/5/24,9M,4.458
8/5/24,1Y,4.227
8/5/24,18M,3.878
8/5/24,2Y,3.696
8/5/24,3Y,3.482
8/5/24,5Y,3.343
8/5/24,10Y,3.346
8/5/24,20Y,3.403
8/5/24,30Y,3.259
8/2/24,ON,5.35
8/2/24,1W,5.315
8/2/24,2W,5.318
8/2/24,3W,5.321
8/2/24,1M,5.324
8/2/24,2M,5.213
8/2/24,3M,5.125
8/2/24,4M,4.985
8/2/24,5M,4.865
8/2/24,6M,4.759
8/2/24,9M,4.472
8/2/24,1Y,4.229
8/2/24,18M,3.868
8/2/24,2Y,3.677
8/2/24,3Y,3.463
8/2/24,5Y,3.329
8/2/24,10Y,3.35
8/2/24,20Y,3.428
8/2/24,30Y,3.296
8/1/24,ON,5.35
8/1/24,1W,5.346
8/1/24,2W,5.349
8/1/24,3W,5.352
8/1/24,1M,5.356
8/1/24,2M,5.28
8/1/24,3M,5.221
8/1/24,4M,5.138
8/1/24,5M,5.056
8/1/24,6M,4.982
8/1/24,9M,4.758
8/1/24,1Y,4.549
8/1/24,18M,4.191
8/1/24,2Y,3.993
8/1/24,3Y,3.746
8/1/24,5Y,3.567
8/1/24,10Y,3.549
8/1/24,20Y,3.612
8/1/24,30Y,3.472
7/31/24,ON,5.38
7/31/24,1W,5.341
7/31/24,2W,5.344
7/31/24,3W,5.347
7/31/24,1M,5.351
7/31/24,2M,5.306
7/31/24,3M,5.246
7/31/24,4M,5.19
7/31/24,5M,5.132
7/31/24,6M,5.07
7/31/24,9M,4.888
7/31/24,1Y,4.706
7/31/24,18M,4.374
7/31/24,2Y,4.176
7/31/24,3Y,3.918
7/31/24,5Y,3.714
7/31/24,10Y,3.678
7/31/24,20Y,3.722
7/31/24,30Y,3.572
7/30/24,ON,5.33
7/30/24,1W,5.331
7/30/24,2W,5.334
7/30/24,3W,5.337
7/30/24,1M,5.341
7/30/24,2M,5.301
7/30/24,3M,5.243
7/30/24,4M,5.189
7/30/24,5M,5.134
7/30/24,6M,5.075
7/30/24,9M,4.902
7/30/24,1Y,4.73
7/30/24,18M,4.398
7/30/24,2Y,4.2
7/30/24,3Y,3.948
7/30/24,5Y,3.747
7/30/24,10Y,3.704
7/30/24,20Y,3.74
7/30/24,30Y,3.589
7/29/24,ON,5.33
7/29/24,1W,5.33
7/29/24,2W,5.332
7/29/24,3W,5.335
7/29/24,1M,5.338
7/29/24,2M,5.306
7/29/24,3M,5.25
7/29/24,4M,5.2
7/29/24,5M,5.146
7/29/24,6M,5.092
7/29/24,9M,4.919
7/29/24,1Y,4.752
7/29/24,18M,4.428
7/29/24,2Y,4.234
7/29/24,3Y,3.98
7/29/24,5Y,3.78
7/29/24,10Y,3.74
7/29/24,20Y,3.775
7/29/24,30Y,3.621
7/26/24,ON,5.35
7/26/24,1W,5.334
7/26/24,2W,5.336
7/26/24,3W,5.338
7/26/24,1M,5.342
7/26/24,2M,5.309
7/26/24,3M,5.252
7/26/24,4M,5.2
7/26/24,5M,5.146
7/26/24,6M,5.09
7/26/24,9M,4.914
7/26/24,1Y,4.749
7/26/24,18M,4.427
7/26/24,2Y,4.234
7/26/24,3Y,3.984
7/26/24,5Y,3.79
7/26/24,10Y,3.756
7/26/24,20Y,3.791
7/26/24,30Y,3.637
7/25/24,ON,5.35
7/25/24,1W,5.335
7/25/24,2W,5.337
7/25/24,3W,5.339
7/25/24,1M,5.343
7/25/24,2M,5.313
7/25/24,3M,5.26
7/25/24,4M,5.208
7/25/24,5M,5.156
7/25/24,6M,5.105
7/25/24,9M,4.937
7/25/24,1Y,4.779
7/25/24,18M,4.465
7/25/24,2Y,4.28
7/25/24,3Y,4.038
7/25/24,5Y,3.847
7/25/24,10Y,3.807
7/25/24,20Y,3.838
7/25/24,30Y,3.682
7/24/24,ON,5.34
7/24/24,1W,5.338
7/24/24,2W,5.339
7/24/24,3W,5.341
7/24/24,1M,5.345
7/24/24,2M,5.329
7/24/24,3M,5.267
7/24/24,4M,5.221
7/24/24,5M,5.175
7/24/24,6M,5.117
7/24/24,9M,4.944
7/24/24,1Y,4.78
7/24/24,18M,4.456
7/24/24,2Y,4.266
7/24/24,3Y,4.029
7/24/24,5Y,3.855
7/24/24,10Y,3.837
7/24/24,20Y,3.881
7/24/24,30Y,3.729
7/23/24,ON,5.34
7/23/24,1W,5.338
7/23/24,2W,5.34
7/23/24,3W,5.342
7/23/24,1M,5.346
7/23/24,2M,5.336
7/23/24,3M,5.282
7/23/24,4M,5.238
7/23/24,5M,5.193
7/23/24,6M,5.138
7/23/24,9M,4.976
7/23/24,1Y,4.817
7/23/24,18M,4.492
7/23/24,2Y,4.3
7/23/24,3Y,4.053
7/23/24,5Y,3.853
7/23/24,10Y,3.802
7/23/24,20Y,3.827
7/23/24,30Y,3.67
7/22/24,ON,5.33
7/22/24,1W,5.338
7/22/24,2W,5.34
7/22/24,3W,5.342
7/22/24,1M,5.347
7/22/24,2M,5.34
7/22/24,3M,5.285
7/22/24,4M,5.242
7/22/24,5M,5.202
7/22/24,6M,5.149
7/22/24,9M,4.992
7/22/24,1Y,4.838
7/22/24,18M,4.52
7/22/24,2Y,4.335
7/22/24,3Y,4.086
7/22/24,5Y,3.883
7/22/24,10Y,3.823
7/22/24,20Y,3.841
7/22/24,30Y,3.681
7/19/24,ON,5.34
7/19/24,1W,5.339
7/19/24,2W,5.34
7/19/24,3W,5.342
7/19/24,1M,5.346
7/19/24,2M,5.342
7/19/24,3M,5.282
7/19/24,4M,5.234
7/19/24,5M,5.195
7/19/24,6M,5.14
7/19/24,9M,4.981
7/19/24,1Y,4.826
7/19/24,18M,4.509
7/19/24,2Y,4.32
7/19/24,3Y,4.073
7/19/24,5Y,3.868
7/19/24,10Y,3.802
7/19/24,20Y,3.818
7/19/24,30Y,3.657
7/18/24,ON,5.34
7/18/24,1W,5.339
7/18/24,2W,5.341
7/18/24,3W,5.342
7/18/24,1M,5.346
7/18/24,2M,5.343
7/18/24,3M,5.285
7/18/24,4M,5.24
7/18/24,5M,5.194
7/18/24,6M,5.138
7/18/24,9M,4.97
7/18/24,1Y,4.806
7/18/24,18M,4.474
7/18/24,2Y,4.276
7/18/24,3Y,4.019
7/18/24,5Y,3.816
7/18/24,10Y,3.755
7/18/24,20Y,3.779
7/18/24,30Y,3.622
7/17/24,ON,5.35
7/17/24,1W,5.339
7/17/24,2W,5.341
7/17/24,3W,5.343
7/17/24,1M,5.346
7/17/24,2M,5.357
7/17/24,3M,5.286
7/17/24,4M,5.244
7/17/24,5M,5.202
